Algorithm,16,32,64,128,256,384,512,640,768,896,1024,1280,1536,1792,2048
matmul_naive,3,3,23,109,683,2162,5486,10590,18216,31551,45897,92368,154509,243109,373331
matmul_naive_transposed,8,19,108,774,6341,21898,50963,107952,185650,292401,442164,926192,1595704,2561070,4003728
matmul_vec,14,8,43,166,700,1905,4034,8985,15635,24036,35128,68211,115868,180720,276866
matmul_vec_transposed,13,13,83,530,5033,17799,44021,87659,155955,246050,369393,729601,1268190,2027594,3038980
matmul_SIMD_tiled_v1,2,1,14,95,651,2070,5060,9875,16805,26608,40589,77151,134471,213799,328077
matmul_SIMD_dot,1,2,16,98,655,2700,6020,13026,24472,39258,59321,124736,235752,400747,619195
matmul_SIMD_tiled_v2,2,3,12,66,395,1239,2845,5405,9401,14870,31928,48013,72102,112368,208076
