Algorithm,16,32,64,128,256,384,512,640,768,896,1024,1280,1536,1792,2048
matmul_naive,22,153,1198,9435,75400,253886,598983,1164157,2024893,3222342,4802417,9354318,16281418,25906806,38988387
matmul_naive_transposed,30,170,1269,10472,78419,263300,623907,1224887,2101842,3334630,4982020,9754344,16939163,27473581,43894021
matmul_vec,21,101,730,5762,42122,139722,329099,648731,1106888,1757795,2630907,5101593,8799856,13969243,20832419
matmul_vec_transposed,30,112,794,5623,42066,139764,330769,641326,1106665,1752880,2615661,5131235,8800389,13954166,20828039
matmul_SIMD_dot,6,27,140,994,8182,27702,65865,129049,226040,357289,530298,1037277,1792157,2855536,4260559
matmul_SIMD_tiled_v1,5,14,102,770,6051,20949,50438,92440,162936,253229,379097,744807,1275616,2017464,3020638
matmul_SIMD_tiled_v2,4,11,63,432,3296,10356,24934,47682,82216,129615,194288,381196,653992,1029990,1547401
